Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2
0.000000000000000000e+00,5.883240126683875104e+01,0.000000000000000000e+00,3.988000000000000256e+01,3.768800000000000239e+01
2.991050958633422852e+00,5.883240126683875104e+01,0.000000000000000000e+00,3.959000000000000341e+01,3.765599999999999881e+01
5.982078075408935547e+00,5.883240126683875104e+01,0.000000000000000000e+00,3.936399999999999721e+01,3.752700000000000102e+01
8.973112106323242188e+00,5.883240126683875104e+01,0.000000000000000000e+00,3.904200000000000159e+01,3.752700000000000102e+01
1.196414518356323242e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.900999999999999801e+01,3.736599999999999966e+01
1.495517897605895996e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.878399999999999892e+01,3.720499999999999829e+01
1.794622206687927246e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.865500000000000114e+01,3.691499999999999915e+01
2.093725323677062988e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.849399999999999977e+01,3.685099999999999909e+01
2.392830014228820801e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.846200000000000330e+01,3.639900000000000091e+01
2.691933703422546387e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.868800000000000239e+01,3.656099999999999994e+01
2.991038012504577637e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.881600000000000250e+01,3.627100000000000080e+01
3.290141224861145020e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.884899999999999665e+01,3.620600000000000307e+01
3.589244318008422852e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.900999999999999801e+01,3.597999999999999687e+01
3.888347601890563965e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.910600000000000165e+01,3.581900000000000261e+01
4.187451219558715820e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.939600000000000080e+01,3.581900000000000261e+01
4.486555504798889160e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.959000000000000341e+01,3.556199999999999761e+01
4.785658812522888184e+01,5.883240126683875104e+01,0.000000000000000000e+00,3.988000000000000256e+01,3.552900000000000347e+01
5.084762501716613770e+01,5.883240126683875104e+01,0.000000000000000000e+00,4.010499999999999687e+01,3.549699999999999989e+01
5.383866906166076660e+01,5.883240126683875104e+01,0.000000000000000000e+00,4.042799999999999727e+01,3.527100000000000080e+01
5.682970499992370605e+01,5.883240126683875104e+01,0.000000000000000000e+00,4.075000000000000000e+01,3.523899999999999721e+01
5.982074499130249023e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.103999999999999915e+01,3.520700000000000074e+01
6.281178426742553711e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.149099999999999966e+01,3.520700000000000074e+01
6.580281901359558105e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.178099999999999881e+01,3.501400000000000290e+01
6.879389429092407227e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.203900000000000148e+01,3.498100000000000165e+01
7.178493213653564453e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.229699999999999704e+01,3.498100000000000165e+01
7.477596592903137207e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.268399999999999750e+01,3.498100000000000165e+01
7.776698899269104004e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.307000000000000028e+01,3.472399999999999665e+01
8.075802016258239746e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.323100000000000165e+01,3.465899999999999892e+01
8.377024006843566895e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.377900000000000347e+01,3.462700000000000244e+01
8.676128005981445312e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.426299999999999812e+01,3.459499999999999886e+01
8.975230216979980469e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.484300000000000352e+01,3.462700000000000244e+01
9.274333429336547852e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.532600000000000051e+01,3.459499999999999886e+01
9.603655600547790527e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.584199999999999875e+01,3.453000000000000114e+01
9.902758312225341797e+01,8.916275042874755741e+01,0.000000000000000000e+00,4.658299999999999841e+01,3.465899999999999892e+01
1.020186150074005127e+02,8.916275042874755741e+01,0.000000000000000000e+00,4.713100000000000023e+01,3.469100000000000250e+01
1.050096461772918701e+02,8.916275042874755741e+01,0.000000000000000000e+00,4.754999999999999716e+01,3.469100000000000250e+01
1.080006802082061768e+02,8.916275042874755741e+01,0.000000000000000000e+00,4.825900000000000034e+01,3.459499999999999886e+01
1.109917140007019043e+02,8.916275042874755741e+01,0.000000000000000000e+00,4.858100000000000307e+01,3.465899999999999892e+01
1.139827539920806885e+02,8.916275042874755741e+01,0.000000000000000000e+00,4.906400000000000006e+01,3.462700000000000244e+01
1.169738001823425293e+02,8.916275042874755741e+01,0.000000000000000000e+00,4.977300000000000324e+01,3.465899999999999892e+01
1.200066900253295898e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.015999999999999659e+01,3.469100000000000250e+01
1.229977290630340576e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.045000000000000284e+01,3.475600000000000023e+01
1.264885001182556152e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.074000000000000199e+01,3.465899999999999892e+01
1.294795451164245605e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.132000000000000028e+01,3.488499999999999801e+01
1.324705791473388672e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.167499999999999716e+01,3.488499999999999801e+01
1.354616181850433350e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.228699999999999903e+01,3.491700000000000159e+01
1.384525291919708252e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.277100000000000080e+01,3.494899999999999807e+01
1.414435529708862305e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.315699999999999648e+01,3.491700000000000159e+01
1.444345860481262207e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.351200000000000045e+01,3.507800000000000296e+01
1.474256050586700439e+02,7.806204592416361265e+01,0.000000000000000000e+00,5.393099999999999739e+01,3.523899999999999721e+01
1.504166362285614014e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.428499999999999659e+01,3.530400000000000205e+01
1.534076652526855469e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.441400000000000148e+01,3.539999999999999858e+01
1.565839550495147705e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.464000000000000057e+01,3.527100000000000080e+01
1.596103479862213135e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.502600000000000335e+01,3.549699999999999989e+01
1.637610130310058594e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.567099999999999937e+01,3.597999999999999687e+01
1.667518222332000732e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.596099999999999852e+01,3.562599999999999767e+01
1.698115289211273193e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.631499999999999773e+01,3.636699999999999733e+01
1.728136272430419922e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.647699999999999676e+01,3.614200000000000301e+01
1.759109539985656738e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.692799999999999727e+01,3.627100000000000080e+01
1.790913043022155762e+02,7.806204592416361265e+01,4.867466490395969458e+01,5.696000000000000085e+01,3.662500000000000000e+01
1.824112291336059570e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.725000000000000000e+01,3.685099999999999909e+01
1.855339801311492920e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.718599999999999994e+01,3.665699999999999648e+01
1.885250511169433594e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.747599999999999909e+01,3.730199999999999960e+01
1.917608370780944824e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.789500000000000313e+01,3.752700000000000102e+01
1.948089630603790283e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.805599999999999739e+01,3.778499999999999659e+01
1.978665258884429932e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.805599999999999739e+01,3.778499999999999659e+01
2.010040922164916992e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.818500000000000227e+01,3.810699999999999932e+01
2.040852899551391602e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.844200000000000017e+01,3.842999999999999972e+01
2.070763061046600342e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.860399999999999920e+01,3.871999999999999886e+01
2.100673222541809082e+02,4.640499771329058376e+01,4.867466490395969458e+01,5.882900000000000063e+01,3.862299999999999756e+01
2.131269230842590332e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.870000000000000284e+01,3.884899999999999665e+01
2.161179621219635010e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.873199999999999932e+01,3.913900000000000290e+01
2.193715951442718506e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.876500000000000057e+01,3.946099999999999852e+01
2.223725590705871582e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.870000000000000284e+01,3.965400000000000347e+01
2.253635911941528320e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.837800000000000011e+01,3.971900000000000119e+01
2.283546171188354492e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.847500000000000142e+01,4.010499999999999687e+01
2.314160850048065186e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.831300000000000239e+01,3.997699999999999676e+01
2.344071080684661865e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.824900000000000233e+01,4.026700000000000301e+01
2.373981330394744873e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.818500000000000227e+01,4.029899999999999949e+01
2.403891541957855225e+02,4.640499771329058376e+01,7.194664561681962667e+00,5.811999999999999744e+01,4.036299999999999955e+01
2.433801760673522949e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.799099999999999966e+01,4.078199999999999648e+01
2.465566451549530029e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.792699999999999960e+01,4.058899999999999864e+01
2.496165208816528320e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.776599999999999824e+01,4.091100000000000136e+01
2.527807569503784180e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.760399999999999920e+01,4.075000000000000000e+01
2.560711679458618164e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.763700000000000045e+01,4.097599999999999909e+01
2.593907260894775391e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.786200000000000188e+01,4.107200000000000273e+01
2.623817510604858398e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.753999999999999915e+01,4.110399999999999920e+01
2.653727753162384033e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.753999999999999915e+01,4.094299999999999784e+01
2.685811510086059570e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.766899999999999693e+01,4.103999999999999915e+01
2.716358709335327148e+02,8.146931469913245394e+01,7.194664561681962667e+00,5.760399999999999920e+01,4.094299999999999784e+01
2.746360292434692383e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.773299999999999699e+01,4.091100000000000136e+01
2.776270570755004883e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.776599999999999824e+01,4.129800000000000182e+01
2.806180779933929443e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.786200000000000188e+01,4.120100000000000051e+01
2.836235492229461670e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.799099999999999966e+01,4.110399999999999920e+01
2.866868002414703369e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.821699999999999875e+01,4.110399999999999920e+01
2.897653040885925293e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.824900000000000233e+01,4.136200000000000188e+01
2.927563393115997314e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.853900000000000148e+01,4.110399999999999920e+01
2.957505033016204834e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.860399999999999920e+01,4.120100000000000051e+01
2.987415249347686768e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.895799999999999841e+01,4.132999999999999829e+01
3.017325491905212402e+02,8.146931469913245394e+01,1.414976593781726066e+01,5.918399999999999750e+01,4.136200000000000188e+01
3.047235741615295410e+02,8.913550661719600043e+01,1.414976593781726066e+01,5.950600000000000023e+01,4.145900000000000318e+01
3.077146120071411133e+02,8.913550661719600043e+01,1.414976593781726066e+01,5.989300000000000068e+01,4.158800000000000097e+01
3.107278740406036377e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.021500000000000341e+01,4.174900000000000233e+01
3.137188940048217773e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.024699999999999989e+01,4.168500000000000227e+01
3.167099161148071289e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.024699999999999989e+01,4.184599999999999653e+01
3.197957539558410645e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.047299999999999898e+01,4.178099999999999881e+01
3.227867770195007324e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.040800000000000125e+01,4.174900000000000233e+01
3.257778029441833496e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.072999999999999687e+01,4.190999999999999659e+01
3.287815029621124268e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.085900000000000176e+01,4.178099999999999881e+01
3.317722160816192627e+02,8.913550661719600043e+01,1.414976593781726066e+01,6.114900000000000091e+01,4.136200000000000188e+01
3.347632529735565186e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.137500000000000000e+01,4.178099999999999881e+01
3.377542750835418701e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.182600000000000051e+01,4.184599999999999653e+01
3.408655710220336914e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.205199999999999960e+01,4.232900000000000063e+01
3.438565890789031982e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.234199999999999875e+01,4.242600000000000193e+01
3.468476159572601318e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.279299999999999926e+01,4.232900000000000063e+01
3.499708390235900879e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.285699999999999932e+01,4.252199999999999847e+01
3.530855422019958496e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.311500000000000199e+01,4.258700000000000330e+01
3.560764341354370117e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.330899999999999750e+01,4.271600000000000108e+01
3.592240591049194336e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.343800000000000239e+01,4.274799999999999756e+01
3.623134262561798096e+02,8.913550661719600043e+01,4.159066244358466946e+01,6.353399999999999892e+01,4.307000000000000028e+01
3.654453721046447754e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.388900000000000290e+01,4.287700000000000244e+01
3.684984550476074219e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.401800000000000068e+01,4.310300000000000153e+01
3.716942591667175293e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.404999999999999716e+01,4.278000000000000114e+01
3.746852819919586182e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.434000000000000341e+01,4.307000000000000028e+01
3.776852931976318359e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.427500000000000568e+01,4.332800000000000296e+01
3.806761379241943359e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.443699999999999761e+01,4.384400000000000119e+01
3.836695890426635742e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.430800000000000693e+01,4.374699999999999989e+01
3.866606111526489258e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.437199999999999989e+01,4.374699999999999989e+01
3.898196840286254883e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.417900000000000205e+01,4.410199999999999676e+01
3.928878180980682373e+02,2.464918944535489231e+01,4.159066244358466946e+01,6.388900000000000290e+01,4.381199999999999761e+01
3.959521799087524414e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.379200000000000159e+01,4.435900000000000176e+01
3.992791922092437744e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.359899999999999665e+01,4.468200000000000216e+01
4.022721579074859619e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.337299999999999756e+01,4.477799999999999869e+01
4.052758121490478516e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.298599999999999710e+01,4.445600000000000307e+01
4.083877191543579102e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.276100000000000279e+01,4.461699999999999733e+01
4.114061951637268066e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.256700000000000017e+01,4.532600000000000051e+01
4.144253640174865723e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.224499999999999744e+01,4.542300000000000182e+01
4.174163892269134521e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.202000000000000313e+01,4.539099999999999824e+01
4.205166809558868408e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.156799999999999784e+01,4.555199999999999960e+01
